Gene Systematic Name,Gene Standard Name,WT_1.rpkm,WT_2.rpkm,WT_3.rpkm,r0_1.rpkm,r0_2.rpkm,r0_3.rpkm,log2 (r0/WT),P value (r0/WT),FDR (r0/WT)
YPR085C,ASA1,25.99915505,30.89976414,25.58636897,27.84242674,27.60603059,22.19611976,-0.170692057,0.050903469,0.081294961
YPR084W,-,25.8497499,24.39912605,25.44420131,32.60599569,31.80349061,35.41755386,0.311337182,5.54E-05,0.000153845
YPR083W,MDM36,13.7180524,12.64911527,14.04917541,13.13225463,13.37770252,14.68471764,-0.058933393,0.45681752,0.548304135
YPR082C,DIB1,54.69136899,50.9478254,49.97826086,47.22661014,60.52010147,54.16122711,-0.026778368,0.764446486,0.831925116
YPR081C,GRS2,14.4659137,16.13091772,16.33490201,19.87332376,18.57518316,19.40038088,0.216172971,0.003630386,0.007366211
YPR080W,TEF1,1148.944763,1128.028925,1143.498721,1000.586794,1036.918728,1007.277074,-0.253409765,8.18E-09,4.52E-08
YPR079W,MRL1,16.09792572,17.81878695,16.19303437,25.55676662,26.41992202,26.90916846,0.566707338,1.95E-07,8.32E-07
YPR078C,-,5.7123748,5.751545527,5.341881337,12.96516053,13.79249082,15.31025075,1.231731779,8.23E-10,5.77E-09
YPR077C,-,1.957578828,1.708742717,2.638148667,4.14375418,3.173999078,6.052840606,0.980323392,0.010680316,0.019783709
YPR076W,-,52.00025396,52.97102424,49.48591303,70.12207074,71.51836095,71.26982963,0.375587285,5.36E-05,0.000149266
YPR075C,OPY2,75.1604227,73.14696838,75.78947367,96.03354563,96.7196775,97.08455986,0.285710519,1.02E-06,3.78E-06
YPR074W-A,-,0.473176949,0,0,0,0,0,-1.859537054,0.30971541,0.394672072
YPR074C,TKL1,794.5975037,780.8364564,773.6540891,633.1278413,624.6685864,640.53066,-0.393152754,3.91E-12,4.73E-11
YPR073C,LTP1,126.5310211,126.7053821,129.236715,136.9455085,125.9859317,129.3222048,-0.049493881,0.324537314,0.410700212
YPR072W,NOT5,91.92284596,94.09202434,98.86538013,79.73804835,81.03032941,76.20114919,-0.349602948,1.84E-08,9.50E-08
YPR071W,-,29.76997237,27.60989707,30.58080393,23.52419826,25.59304109,22.78132297,-0.371574667,0.000458223,0.001090249
YPR070W,MED1,33.34520519,32.93172142,34.66942719,30.38495129,32.22780621,28.37376366,-0.231847206,0.000377179,0.000910493
YPR069C,SPE3,328.7903827,312.781286,321.6681455,210.9583761,211.7048132,213.6665266,-0.683919669,1.44E-14,3.87E-13
YPR068C,HOS1,12.65522298,11.86505957,11.80725561,13.02692397,12.83269873,13.51035594,0.028057578,0.742048951,0.812389126
YPR067W,ISA2,39.15157657,42.71856794,40.61150069,67.1125677,77.98969164,74.21308917,0.755147907,1.04E-09,7.10E-09
YPR066W,UBA3,11.50766339,12.71304582,9.516521737,15.81776596,14.71224144,14.03206353,0.30996407,0.013058516,0.023750635
YPR065W,ROX1,170.7437861,173.2683638,171.1007423,310.2775488,323.1801988,293.6943529,0.762832739,3.70E-15,1.23E-13
YPR064W,-,2.311807378,1.513457835,1.486956521,5.397326873,4.21688449,5.361087394,1.383277954,0.000243595,0.000606097
YPR063C,-,229.1585895,228.6019025,225.0471785,234.5119387,221.3116683,229.123254,-0.082159235,0.062209839,0.09729971
YPR062W,FCY1,274.2908565,277.1817117,269.5225594,303.2007776,294.5630843,294.3100643,0.033688983,0.373492375,0.463515615
YPR061C,JID1,7.948432652,9.559340467,7.090123811,14.31185219,12.93922614,13.18274873,0.623575616,5.35E-05,0.000148965
YPR060C,ARO7,116.1750673,126.2441726,119.3036711,75.97420115,71.42997592,77.32808513,-0.774392771,7.27E-13,1.09E-11
YPR059C,-,93.66702762,93.82851968,89.67846308,98.64137858,103.0793986,97.13921749,0.023240234,0.697635797,0.774112844
YPR058W,YMC1,86.69277668,87.88374476,86.51383398,93.42282152,96.29465664,92.07084872,0.024935916,0.56566933,0.655121022
YPR057W,BRR1,37.38097895,39.10872404,38.78260869,45.86780943,46.60767068,39.02566287,0.108366589,0.106164839,0.155949541
YPR056W,TFB4,39.14387714,35.39214451,33.42362447,36.28786846,38.6444085,38.31214436,-0.018928765,0.779434305,0.845524259
YPR055W,SEC8,23.75783286,22.51020073,23.76898605,26.11374586,25.60722226,26.02045028,0.065057558,0.162816822,0.226475243
YPR054W,SMK1,12.41085966,12.18742074,11.46753101,16.86074966,11.92435203,15.18385543,0.192320978,0.098876074,0.14636288
YPR053C,-,181.522507,187.1410527,177.2608695,165.2434233,155.1739512,164.0222848,-0.259959207,1.46E-05,4.44E-05
YPR052C,NHP6A,345.1725165,367.4160405,343.5818686,320.8997918,306.5465675,300.9846382,-0.272069323,4.30E-06,1.44E-05
YPR051W,MAK3,61.25636499,65.09151284,63.00663227,73.08651441,75.4433195,73.5618624,0.144621317,0.022705283,0.039233231
YPR050C,-,65.47328867,70.24418432,68.96030245,80.38105935,81.07826217,77.32532479,0.137865557,0.042812439,0.069669203
YPR049C,ATG11,12.65056031,14.98374604,14.73083305,21.3292836,19.31397476,17.57571521,0.375582752,1.53E-05,4.64E-05
YPR048W,TAH18,46.07560538,46.56186987,45.89548494,39.62191497,36.76258273,37.49623415,-0.369026656,7.12E-08,3.30E-07
YPR047W,MSF1,22.03595118,22.99167861,23.60148011,62.95809543,69.44401266,65.68199948,1.445236667,3.54E-17,3.41E-15
